system,T,method,n_snap,MAE_dFres,RMSE_dFres,R2_dFres
alpha-TiAl,400,response_only,100,0.09954391178535943,0.09954602355417529,-243236.18858581927
alpha-TiAl,400,temp_only,100,0.002091768645075346,0.00210148418206138,-107.40127564568003
alpha-TiAl,500,enriched_d2,100,0.03462809339609934,0.03464397120165739,-24021.523384021326
alpha-TiAl,500,enriched_d3,100,0.06441607370187855,0.06442539507054672,-83075.36156825471
alpha-TiAl,500,piml,100,0.01794211724077862,0.017946088812700035,-6445.187183525511
alpha-TiAl,500,response_only,100,0.01039233489339147,0.010412826419783564,-2169.2039251578403
alpha-TiAl,500,temp_only,100,0.0031594229410205734,0.0031673198391363195,-199.79233453928916
alpha-TiAl,600,enriched_d2,100,0.11396362914067898,0.1139674965611142,-150787.73609612708
alpha-TiAl,600,enriched_d3,100,0.006211867932270614,0.0063234792761851745,-463.21490756625457
alpha-TiAl,600,piml,100,0.003545845603794017,0.0036208001641162297,-151.20047102178052
alpha-TiAl,600,response_only,100,0.06721703019719531,0.067220870678105,-52457.41332231201
alpha-TiAl,600,temp_only,100,0.0007614492257635258,0.0008152536460434956,-6.716002921628648
alpha-TiAl,700,enriched_d2,100,0.2062048969612458,0.2062067020432354,-358085.9059125964
alpha-TiAl,700,enriched_d3,100,0.08514392982046354,0.08515121651122262,-61060.0968663292
alpha-TiAl,700,piml,100,0.2922318492043646,0.2922329668631287,-719185.1283022325
alpha-TiAl,700,response_only,100,0.19623029907060155,0.196231183298296,-324278.08065283875
alpha-TiAl,700,temp_only,100,0.013270757782474787,0.01327523098134033,-1483.1133109384243
beta-TiV,300,enriched_d2,100,0.22078506848221924,0.22078592568281594,-2497458.320489305
beta-TiV,300,enriched_d3,100,0.07311125843212275,0.07311716297407511,-273900.44062249985
beta-TiV,300,piml,100,0.027109251125497797,0.027109830622434168,-37652.83896974942
beta-TiV,300,response_only,100,0.11410160674124657,0.11410231664030059,-667027.7862816791
beta-TiV,300,temp_only,100,0.008737917789987962,0.008739034598317232,-3911.754234145054
beta-TiV,400,enriched_d2,100,0.17936267957871854,0.17936448697621693,-1336843.7382820784
beta-TiV,400,enriched_d3,100,0.0600064559305124,0.06001678292475058,-149675.450723295
beta-TiV,400,piml,100,0.024631813818768583,0.024635550210060708,-25218.27423277547
beta-TiV,400,response_only,100,0.0072981654820400066,0.007324597015963308,-2228.3359686398267
beta-TiV,400,temp_only,100,0.004681595829356439,0.004684165330822676,-910.7430940577558
beta-TiV,500,enriched_d2,100,0.1495845985206678,0.14958693346729204,-425397.6513562896
beta-TiV,500,enriched_d3,100,0.04176039027264049,0.041774391915707774,-33175.385133571624
beta-TiV,500,piml,100,0.08205731217500757,0.08205762354145756,-128009.81447628493
beta-TiV,500,response_only,100,0.08108442170431741,0.08108835635326686,-125003.53966408542
beta-TiV,500,temp_only,100,0.008028259634852826,0.008031534935899934,-1225.3258865179268
beta-TiV,600,enriched_d2,100,0.0987574169990134,0.09876146742603664,-150397.32610598672
beta-TiV,600,enriched_d3,100,0.00856022973850019,0.008642760142331023,-1150.78881082221
beta-TiV,600,piml,100,0.05012401072442315,0.050135826469721166,-38757.261750747435
beta-TiV,600,response_only,100,0.14341323325284436,0.14341605582738787,-317148.1000746096
beta-TiV,600,temp_only,100,0.0067824795335314466,0.0067872587928178435,-709.3244307557625
beta-TiV,700,enriched_d2,100,0.07122771788738991,0.07123036905355253,-54510.571499483085
beta-TiV,700,enriched_d3,100,0.07577744108277766,0.07578510262929043,-61704.80175409541
beta-TiV,700,piml,100,0.2908015467603329,0.29080277680504196,-908562.7635393281
beta-TiV,700,response_only,100,0.2401961778454973,0.2401970336519236,-619858.9727437426
beta-TiV,700,temp_only,100,0.0059428901879216185,0.005950715976901074,-379.4492723763326
