timestep,natoms,U_eVatom,PE_eVatom,KE_eVatom,SLE_mean,SLE_std,SLE_q25,SLE_q50,SLE_q75,SLE_iqr,Voro_mean,Voro_q25,Voro_q50,Voro_q75,Voro_iqr,q6_mean,q6_std,q6_q25,q6_q50,q6_q75,q6_iqr,q6knn_mean,vMises_mean,vMises_q25,vMises_q50,vMises_q75,vMises_iqr,system,T,snap,FANC_eVatom,TSLE_eVatom,F0_eVatom,dFraw_eVatom,dFraw_T0_mean,dFres_eVatom
395000,80256,-4.6146138543501225,-4.705427704221491,0.09081384987136912,-4.327680942608652,0.14548054360212137,-4.4278925,-4.3318449999999995,-4.23232,0.19557249999999993,17.71404764129785,17.3396,17.7101,18.082025,0.7424250000000008,0.2912177903632644,0.016626850295682793,0.28075379878282547,0.29209892451763153,0.30279987305402756,0.022046074271202087,0.2914409987720181,93509.66101920375,68719.22107678647,89836.97076503548,114328.63592905008,45609.41485226361,alpha-TiAl,700,94,-4.97663412,-0.2610514825384554,-4.353562371811667,-0.623071748188333,-0.2125885662818252,-0.4104831819065078
396000,80256,-4.615617152585781,-4.70602920417165,0.0904120515858702,-4.335358610571172,0.144941696189727,-4.4349125,-4.338735,-4.2394775000000005,0.1954349999999998,17.710003957336518,17.3385,17.7054,18.077925,0.7394250000000007,0.29107432514117165,0.016583481202351837,0.280742309987545,0.29199524223804474,0.3025817349553108,0.021839424967765808,0.2910523968046914,93262.17369345509,68402.54101227334,89603.05074298254,113844.76193007124,45442.220917797895,alpha-TiAl,700,95,-4.97663412,-0.26151460970301144,-4.354102542882769,-0.6225315771172308,-0.2125885662818252,-0.40994301083540563
397000,80256,-4.614907950256809,-4.705590252442184,0.09068230218537679,-4.325083015973884,0.14626973640530258,-4.42446,-4.3277149999999995,-4.227935,0.1965249999999994,17.713044918759966,17.335475,17.7109,18.087625,0.7521500000000003,0.29131841081795407,0.016580660404336638,0.28089506179094315,0.292226642370224,0.3028739467263222,0.02197888493537903,0.2912307340086199,93586.65559904008,68713.40057191889,89863.50536689746,114305.44710554826,45592.04653362937,alpha-TiAl,700,96,-4.97663412,-0.2608947721412412,-4.354013178115568,-0.6226209418844322,-0.2125885662818252,-0.41003237560260697
398000,80256,-4.614128815877864,-4.705037150618023,0.090908334740159,-4.3260151403010365,0.14732471004179265,-4.42694,-4.32978,-4.2285,0.19843999999999973,17.714431073066187,17.3395,17.7092,18.0867,0.7471999999999994,0.29095540432210426,0.016639216495261306,0.28056467324495316,0.29196181893348694,0.3025316819548607,0.021967008709907532,0.2909483302620788,93658.57291920822,68948.9417638179,90013.484634975,114170.17005983803,45221.22829602013,alpha-TiAl,700,97,-4.97663412,-0.26095099912302205,-4.353177816754842,-0.6234563032451579,-0.2125885662818252,-0.4108677369633327
399000,80256,-4.614466948069368,-4.705404380482456,0.09093743241308812,-4.326729274446771,0.14476249273674072,-4.4257,-4.32908,-4.2294175,0.1962824999999997,17.71464690615032,17.341,17.7121,18.087925000000002,0.746925000000001,0.29097933044242696,0.016612245631062433,0.2805522233247757,0.29185740649700165,0.3025499954819679,0.02199777215719223,0.29105682834831365,93629.82447701963,68704.92882902574,89811.55947199087,114269.7169605954,45564.78813156966,alpha-TiAl,700,98,-4.97663412,-0.260994076646515,-4.353472871422853,-0.6231612485771469,-0.2125885662818252,-0.41057268229532173
400000,80256,-4.615293783041208,-4.705401363013358,0.09010757997214912,-4.324982053802831,0.1480711390940695,-4.4270024999999995,-4.3277,-4.2267175,0.20028499999999916,17.71596783293461,17.3385,17.7136,18.0911,0.752600000000001,0.2912152394571786,0.01664365141147176,0.28078555315732956,0.29215897619724274,0.30286992341279984,0.022084370255470276,0.2910442605038713,93685.63942972911,68780.41007265617,89934.49194425202,114201.45600769187,45421.0459350357,alpha-TiAl,700,99,-4.97663412,-0.26088868196851744,-4.3544051010726905,-0.6222290189273094,-0.2125885662818252,-0.4096404526454842
301000,85750,-4.794933897016696,-4.833845209212829,0.0389113121961319,-4.410468893294461,0.1044075272108549,-4.48065,-4.410585,-4.33994,0.14070999999999945,17.264154674052477,17.006025,17.27,17.531,0.5249749999999977,0.37207009361436694,0.006340476568592401,0.3685908690094948,0.372802272439003,0.37645653635263443,0.007865667343139648,0.3718043822713913,52367.755930351625,36322.98851788206,49861.591293826285,65655.30333944886,29332.314821566797,beta-TiV,300,0,-4.88796052,-0.11401944088560807,-4.680914456131088,-0.207046063868912,-0.20701719776360122,-2.886610531077638e-05
302000,85750,-4.794871961603743,-4.8336938702040815,0.03882190860033971,-4.408711098542273,0.10323685051621581,-4.47806,-4.408825,-4.3390025,0.13905749999999983,17.26421450145773,17.0048,17.2709,17.5286,0.5238000000000014,0.3720461623689524,0.006325051802844378,0.3685032054781914,0.37278035283088684,0.3764203190803528,0.007917113602161407,0.3717920518036139,52472.737738556076,36451.41735082491,49926.32057717038,65629.19368016164,29177.77632933673,beta-TiV,300,1,-4.88796052,-0.11397399837605068,-4.680897963227692,-0.2070625567723079,-0.20701719776360122,-4.535900870666909e-05
303000,85750,-4.795007209521485,-4.833814931661808,0.03880772214032187,-4.409055933644315,0.10255572077423031,-4.47797,-4.40953,-4.3406825,0.13728750000000023,17.263638390670557,17.0068,17.269,17.5328,0.5260000000000034,0.3720291652085135,0.0064029744381060355,0.36848171800374985,0.37278157472610474,0.376465767621994,0.007984049618244171,0.3717216838705992,52479.72288836678,36314.34994485885,49853.29328266313,65854.13309629036,29539.78315143151,beta-TiV,300,2,-4.88796052,-0.11398291305303487,-4.68102429646845,-0.2069362235315504,-0.20701719776360122,8.097423205083443e-05
304000,85750,-4.7950399959778585,-4.833850497492711,0.03881050151485364,-4.413246689446064,0.10312910554770359,-4.4826,-4.4129,-4.3437,0.13889999999999958,17.26338219591837,17.0047,17.2698,17.5311,0.5263999999999989,0.3720823032866414,0.006372873154267764,0.3685380443930626,0.37280696630477905,0.3765217959880829,0.007983751595020294,0.3718708147314478,52367.789452083176,36269.14635464234,49742.37391022843,65657.76339519685,29388.617040554505,beta-TiV,300,3,-4.88796052,-0.11409125247112485,-4.680948743506733,-0.20701177649326663,-0.20701719776360122,5.421270334593498e-06
305000,85750,-4.795004435545549,-4.833784935393586,0.03878049984803744,-4.411361419708454,0.1032494966245893,-4.4802075,-4.41114,-4.3420325,0.1381749999999995,17.265178131778427,17.0065,17.2721,17.5302,0.5237000000000016,0.3720898485972652,0.006356607374981687,0.3685632795095444,0.3728247731924057,0.37649430334568024,0.007931023836135864,0.37187500784591754,52462.861889141335,36342.936755233524,49910.30089479915,65837.89943312426,29494.962677890733,beta-TiV,300,4,-4.88796052,-0.11404251447827161,-4.680961921067277,-0.20699859893272343,-0.20701719776360122,1.8598830877791794e-05
