descriptor_stack,k,system,T_K,snap,dFcorr_true_meVatom,dFcorr_knn_median_meVatom,abs_representation_mismatch_meVatom,median_cross_state_neighbor_distance,neighbor_target_IQR_meVatom
d3_SLE_Voro_q6,10,beta-TiV,500.0,83,3.5165723531940807,5.947827168726938,2.4312548155328573,2.6869848855969147,0.3537431111364786
d3_SLE_Voro_q6,10,beta-TiV,500.0,84,3.734759338657967,2.1077202385964835,1.6270391000614837,2.719990624345666,0.27997210280529883
d3_SLE_Voro_q6,10,beta-TiV,500.0,85,3.6060091587955534,5.947827168726938,2.3418180099313846,2.664456019512084,0.3537431111364786
d3_SLE_Voro_q6,10,beta-TiV,500.0,86,4.218400246930154,5.686486657180772,1.4680864102506186,2.7214302142131017,3.672645348924749
d3_SLE_Voro_q6,10,beta-TiV,500.0,87,3.72637428240688,2.3111954341100347,1.4151788482968455,2.7227247415171445,3.675781176289597
d3_SLE_Voro_q6,10,beta-TiV,500.0,88,4.269730128959454,5.947827168726938,1.6780970397674844,2.715050712172573,0.3537431111364786
d3_SLE_Voro_q6,10,beta-TiV,500.0,89,3.925808000993458,2.09331635927474,1.8324916417187185,2.678875959382234,0.30255734255344585
d3_SLE_Voro_q6,10,beta-TiV,500.0,90,4.159080942664262,2.09331635927474,2.0657645833895217,2.663919846435709,0.30255734255344585
d3_SLE_Voro_q6,10,beta-TiV,500.0,91,4.474190068512657,2.2263103387359373,2.2478797297767192,2.697513682317153,0.32944276523540206
d3_SLE_Voro_q6,10,beta-TiV,500.0,92,4.010392430673471,5.885899359938829,1.8755069292653581,2.7199830934453706,0.4192334465746572
d3_SLE_Voro_q6,10,beta-TiV,500.0,93,3.7528445480528583,5.947827168726938,2.1949826206740797,2.6178332586727784,0.3537431111364786
d3_SLE_Voro_q6,10,beta-TiV,500.0,94,3.6134747248258714,2.3111954341100347,1.3022792907158367,2.7226849157188484,3.675781176289597
d3_SLE_Voro_q6,10,beta-TiV,500.0,95,4.260029801324977,5.947827168726938,1.6877973674019608,2.716123208034284,0.3537431111364786
d3_SLE_Voro_q6,10,beta-TiV,500.0,96,3.865699155583963,5.686486657180772,1.82078750159681,2.721682302178978,3.672645348924749
d3_SLE_Voro_q6,10,beta-TiV,500.0,97,3.6026576380821798,2.09331635927474,1.5093412788074398,2.6560167322664405,0.30255734255344585
